timestamp (s),filename,label
0.03,camera_data/11_18_25-camera_data-grassy/color_20251118_162954_000.png,0
1.00,camera_data/11_18_25-camera_data-grassy/color_20251118_162955_001.png,0
2.00,camera_data/11_18_25-camera_data-grassy/color_20251118_162956_002.png,0
3.00,camera_data/11_18_25-camera_data-grassy/color_20251118_162957_003.png,0
4.00,camera_data/11_18_25-camera_data-grassy/color_20251118_162958_004.png,0
5.00,camera_data/11_18_25-camera_data-grassy/color_20251118_162959_005.png,0
6.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163000_006.png,0
7.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163001_007.png,0
8.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163002_008.png,0
9.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163003_009.png,0
10.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163004_010.png,0
11.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163005_011.png,0
12.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163006_012.png,0
13.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163007_013.png,0
14.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163008_014.png,0
15.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163009_015.png,0
16.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163010_016.png,0
17.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163011_017.png,0
18.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163012_018.png,0
19.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163013_019.png,0
20.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163014_020.png,0
21.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163015_021.png,0
22.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163016_022.png,0
23.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163017_023.png,0
24.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163018_024.png,0
25.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163019_025.png,0
26.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163020_026.png,0
27.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163021_027.png,0
28.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163022_028.png,0
29.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163023_029.png,0
30.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163024_030.png,0
31.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163025_031.png,0
32.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163026_032.png,0
33.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163027_033.png,0
34.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163028_034.png,0
35.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163029_035.png,0
36.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163030_036.png,0
37.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163031_037.png,0
38.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163032_038.png,0
39.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163033_039.png,0
40.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163034_040.png,0
41.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163035_041.png,0
42.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163036_042.png,0
43.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163037_043.png,0
44.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163038_044.png,0
45.03,camera_data/11_18_25-camera_data-grassy/color_20251118_163039_045.png,0
46.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163040_046.png,0
47.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163041_047.png,0
48.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163042_048.png,0
49.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163043_049.png,0
50.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163044_050.png,0
51.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163045_051.png,0
52.00,camera_data/11_18_25-camera_data-grassy/color_20251118_163046_052.png,0
53.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163047_053.png,0
54.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163048_054.png,0
55.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163049_055.png,0
56.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163050_056.png,0
57.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163051_057.png,0
58.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163052_058.png,0
59.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163053_059.png,0
60.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163054_060.png,0
61.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163055_061.png,0
62.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163056_062.png,0
63.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163057_063.png,0
64.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163058_064.png,0
65.01,camera_data/11_18_25-camera_data-grassy/color_20251118_163059_065.png,0
66.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163100_066.png,0
67.02,camera_data/11_18_25-camera_data-grassy/color_20251118_163101_067.png,0
